code,name,fund_type,units,cost_nav
017641,摩根标普500指数(QDII)A,海外指数,44.75,1.6760
270042,广发纳斯达克100ETF联接(QDII)A,海外指数,2.42,8.2645
159937,黄金ETF博时,黄金,0,9.4880
002610,博时黄金ETF联接A,黄金,0,3.2325
